"","Country","CC","Year","UD","CENT","WC_STRUCT","WC_RIGHTS","Govint","Level","RI","Coord","EXT","laborforce","GDPperhead","GDPperemployed","Averagewage","emissions","New_law","count1","CorpAll","CorpAllsm","coalprod","oilprod","gasprod","CS_part","Corr","Dem","Indep","law_count","totlaw_count","Area","Region","unfccc_member","pa_member","kyoto_member","timetrend"
"36","Australia","AUS",1995,31.4,0.12,0,0,3,3,1,2,2,67.62838,22353.994579,48508.539535,41838.9935389135,524.13,0,0,-0.386842727661133,-0.196593165397644,1591.81926258896,310.114008772711,295.959920279225,0.946,0.03,0.891,1,0,16,"East Asia & Pacific","Liberal",4,1,1,35
"37","Australia","AUS",1996,31,0.085,0,0,1,2,0,2,1,67.66373,23220.090865,50800.965266,43078.4919944507,517.13,0,0,-0.72408127784729,-0.428330808877945,1640.68356914953,326.405973423205,296.337266565574,0.891,0.03,0.889,1,0,16,"East Asia & Pacific","Liberal",4,1,1,36
"38","Australia","AUS",1997,29.5,NA,0,0,1,2,0,2,1,67.36479,24403.021712,53000.26502,44367.739943346,528.17,0,0,-0.723745167255402,-0.522143244743347,1789.11572054058,346.435383433831,296.376707725485,0.883,0.03,0.884,1,0,16,"East Asia & Pacific","Liberal",4,1,1,37
"39","Australia","AUS",1998,27.9,NA,0,0,1,2,0,2,1,67.80048,25630.468733,55413.977215,44997.1805104061,554.21,0,0,-0.723409056663513,-0.589141607284546,1832.10325096611,328.025511966038,302.737321271138,0.883,0.03,0.884,1,0,16,"East Asia & Pacific","Liberal",4,1,2,38
"40","Australia","AUS",1999,25.2,NA,0,0,1,2,0,2,1,68.23203,27098.22127,57504.780665,46056.2170881819,589.37,0,0,-0.72307288646698,-0.656230211257935,1931.91946649729,319.497305756668,307.125576624159,0.883,0.03,0.881,1,0,16,"East Asia & Pacific","Liberal",4,1,2,39
"41","Australia","AUS",2000,24.8,0.097,0,0,1,2,0,2,1,69.09614,28252.629908,59704.140747,46156.0047121828,608.2,1,1,-0.722736775875092,-0.723409056663513,1996.82138187531,431.376542135522,311.923553734193,0.883,0.03,0.886,1,1,17,"East Asia & Pacific","Liberal",4,1,2,40
"42","Australia","AUS",2001,NA,NA,0,0,1,2,0,2,1,69.00098,29493.214836,62232.426159,46658.3804852012,700.97,0,0,-0.721945345401764,-0.722981870174408,2157.92269114503,399.147476611088,326.413439512096,0.883,0.03,0.885,1,1,17,"East Asia & Pacific","Liberal",4,1,2,41
"43","Australia","AUS",2002,NA,NA,0,0,1,2,0,2,1,69.35914,30740.962904,63890.857813,46979.506131264,688.45,0,0,-0.721153974533081,-0.722463607788086,2224.04811035597,396.667812650481,330.011860972853,0.883,0.03,0.875,1,1,17,"East Asia & Pacific","Liberal",4,1,2,42
"44","Australia","AUS",2003,23.2,0.118,0,0,1,2,0,2,1,70.01125,32248.255843,66707.920334,47529.0885545581,615.56,0,0,-0.720362544059753,-0.721854329109192,2299.04954372431,343.350503052826,337.452528486521,0.883,0.03,0.875,1,1,17,"East Asia & Pacific","Liberal",4,1,2,43
"45","Australia","AUS",2004,NA,NA,0,0,1,2,0,2,1,70.29926,33865.906525,68526.620527,49007.9772384394,659.13,0,0,-0.720380425453186,-0.721315801143646,2388.83294781353,299.859211964444,359.303413541098,0.883,0.03,0.875,1,1,17,"East Asia & Pacific","Liberal",4,1,2,44
"46","Australia","AUS",2005,NA,0.118,0,0,1,2,0,1,1,71.54403,35570.808007,71186.381815,49641.4713839173,616.08,0,0,-0.831509411334991,-0.743070363998413,2501.29044615149,294.556240220155,382.353102843293,0.883,0.03,0.876,1,1,17,"East Asia & Pacific","Liberal",4,1,2,45
"47","Australia","AUS",2006,NA,NA,0,0,1,2,0,1,1,72.12262,37842.933989,74330.128421,49962.5233994728,630.93,1,1,-0.831435322761536,-0.76496833562851,2556.8425131207,273.415624584103,406.822597362859,0.883,0.03,0.876,1,2,18,"East Asia & Pacific","Liberal",4,1,2,46
"48","Australia","AUS",2007,NA,NA,0,0,1,2,1,1,1,72.80006,39596.040062,77143.765252,51341.2511054947,622.43,0,0,-0.720250129699707,-0.764787554740906,2640.85738714202,284.623215869067,427.512189952037,0.895,0.03,0.877,1,2,18,"East Asia & Pacific","Liberal",4,1,4,47
"49","Australia","AUS",2008,18.5,0.12,0,0,2,2,1,1,1,73.20431,40094.833217,78983.8721,51755.3025783172,591.83,1,1,-0.609064936637878,-0.742528021335602,2720.62367793856,280.591303135891,416.829367814886,0.939,0.03,0.884,1,3,19,"East Asia & Pacific","Liberal",4,1,4,48
"50","Australia","AUS",2009,NA,NA,0,0,2,2,1,2,2,72.05107,41614.090735,82380.690669,51286.0480908596,612.67,1,2,-0.386787742376328,-0.675809502601624,2822.83614413111,260.214929680503,466.976301809707,0.939,0.03,0.884,1,5,21,"East Asia & Pacific","Liberal",4,1,4,49
"51","Australia","AUS",2010,NA,NA,0,0,2,2,1,2,2,72.37024,42787.065968,84196.216045,53054.7258534218,573.4,1,3,-0.386732757091522,-0.586854159832001,2914.79179717829,285.287417284215,540.106605606758,0.939,0.03,0.889,1,8,24,"East Asia & Pacific","Liberal",4,1,4,50
"52","Australia","AUS",2011,NA,NA,0,0,2,2,1,2,2,72.65694,44419.309758,87098.574198,54732.8801607659,612.47,1,3,-0.386677771806717,-0.497902661561966,2850.81564782731,250.369870386274,556.507158554807,0.939,0.03,0.896,1,11,27,"East Asia & Pacific","Liberal",4,1,4,51
"53","Australia","AUS",2012,NA,NA,0,0,2,2,1,2,2,72.34558,43879.180373,86804.424538,55058.2119406553,613.12,1,2,-0.386622786521912,-0.431177198886871,3091.91166545877,248.680864941748,595.261419737466,0.939,0.03,0.896,1,13,29,"East Asia & Pacific","Liberal",4,1,4,52
"54","Australia","AUS",2013,17.1,0.122,0,0,2,2,1,2,0,71.97044,47761.214064,95610.905345,54805.6245489794,522.09,0,0,-0.60878998041153,-0.431122213602066,3323.74593011548,207.120455701891,618.001973307044,0.873,0.035,0.88,1,13,29,"East Asia & Pacific","Liberal",4,1,4,53
"55","Australia","AUS",2014,NA,NA,0,0,2,2,1,2,2,71.56635,47644.762797,94936.957589,55226.3203023977,530.85,1,1,-0.386567801237106,-0.431078225374222,3559.45244478715,222.079681110217,666.441734294311,0.873,0.033,0.866,1,14,30,"East Asia & Pacific","Liberal",4,1,4,54
"56","Australia","AUS",2015,NA,0.122,0,0,2,2,1,2,2,72.15796,47317.250714,93909.366078,54773.9937610653,529.38,1,3,-0.386567801237106,-0.431045234203339,3555.70545988773,197.543473215259,760.390030236929,0.873,0.033,0.872,1,17,33,"East Asia & Pacific","Liberal",4,1,4,55
"57","Australia","AUS",2016,NA,NA,0,0,2,2,1,2,2,72.4315,50237.794419,99154.25963,54799.8625972134,507.17,0,0,-0.386522561311722,-0.431014180183411,3563.05860200066,181.534441916652,964.193026500285,0.873,0.031,0.877,1,17,33,"East Asia & Pacific","Liberal",4,4,1,56
"58","Australia","AUS",2017,15,0.123,0,0,2,2,1,2,2,72.98936,51011.462936,99825.883623,54327.0447669041,553.12,0,0,-0.38647735118866,-0.43098509311676,3473.3161700203,173.827060025205,1128.20652831655,0.873,0.026,0.88,1,17,33,"East Asia & Pacific","Liberal",4,4,1,57
"59","Australia","AUS",2018,NA,NA,0,0,2,2,1,2,2,73.76588,54262.882859,105386.40726,54147.4704963865,NA,0,0,-0.386432141065598,-0.386513531208038,3627.9807430875,176.324893412986,1301.02979117152,0.873,0.032,0.865,1,17,33,"East Asia & Pacific","Liberal",4,4,1,58
"60","Austria","AUT",1960,60.1,1.144,3,3,2,4,2,5,3,NA,NA,NA,NA,NA,0,0,1.28251528739929,1.28251528739929,NA,NA,NA,0.949,0.059,0.836,1,0,33,"Europe & Central Asia","Central",1,1,1,0
"61","Austria","AUT",1961,59.6,1.145,3,3,2,4,1,5,3,NA,NA,NA,NA,NA,0,0,1.17148101329803,1.22699809074402,NA,NA,NA,0.949,0.059,0.836,1,0,33,"Europe & Central Asia","Central",1,1,1,1
"62","Austria","AUT",1962,59,1.146,3,3,2,4,1,5,3,NA,NA,NA,NA,NA,0,0,1.17155754566193,1.20851790904999,NA,NA,NA,0.949,0.059,0.835,1,0,33,"Europe & Central Asia","Central",1,1,1,2
"63","Austria","AUT",1963,59.3,1.146,3,3,2,4,1,5,3,NA,NA,NA,NA,NA,0,0,1.17163360118866,1.19929683208466,NA,NA,NA,0.949,0.059,0.834,1,0,33,"Europe & Central Asia","Central",1,1,1,3
"64","Austria","AUT",1964,59,1.147,3,3,2,4,2,5,3,NA,NA,NA,NA,NA,0,0,1.28282058238983,1.21600162982941,NA,NA,NA,0.949,0.059,0.834,1,0,33,"Europe & Central Asia","Central",1,1,1,4
"65","Austria","AUT",1965,58.6,1.148,3,3,2,4,2,5,3,NA,NA,NA,NA,NA,0,0,1.28289592266083,1.21607768535614,NA,NA,NA,0.949,0.059,0.833,1,0,33,"Europe & Central Asia","Central",1,1,1,5
"66","Austria","AUT",1966,58.3,1.148,3,3,2,4,2,5,3,NA,NA,NA,NA,NA,0,0,1.28289592266083,1.23836076259613,NA,NA,NA,0.949,0.059,0.832,1,0,33,"Europe & Central Asia","Central",1,1,1,6
"67","Austria","AUT",1967,57.7,1.148,3,3,2,4,2,5,3,NA,NA,NA,NA,NA,0,0,1.28297102451324,1.26064336299896,NA,NA,NA,0.949,0.059,0.837,1,0,33,"Europe & Central Asia","Central",1,1,1,7
"68","Austria","AUT",1968,58,1.148,3,3,2,4,2,5,3,NA,NA,NA,NA,NA,0,0,1.28297102451324,1.28291094303131,NA,NA,NA,0.949,0.059,0.837,1,0,33,"Europe & Central Asia","Central",1,1,1,8
"69","Austria","AUT",1969,57.5,1.148,3,3,2,4,2,5,3,NA,NA,NA,NA,NA,0,0,1.28297102451324,1.28294098377228,NA,NA,NA,0.949,0.059,0.837,1,0,33,"Europe & Central Asia","Central",1,1,1,9
"70","Austria","AUT",1970,56.7,1.149,3,3,2,4,2,5,3,NA,3820.285643,NA,NA,NA,0,0,1.28304576873779,1.28297090530396,NA,NA,NA,0.949,0.059,0.839,1,0,33,"Europe & Central Asia","Central",1,1,1,10
"71","Austria","AUT",1971,55.3,1.149,3,3,2,4,2,5,3,NA,4200.055444,NA,NA,NA,0,0,1.28304576873779,1.28300094604492,NA,NA,NA,0.949,0.059,0.839,1,0,33,"Europe & Central Asia","Central",1,1,1,11
"72","Austria","AUT",1972,54.3,1.149,3,3,2,4,2,5,3,NA,4627.093383,NA,NA,NA,0,0,1.28304576873779,1.28301584720612,NA,NA,NA,0.949,0.059,0.848,1,0,33,"Europe & Central Asia","Central",1,1,1,12
"73","Austria","AUT",1973,52.8,1.15,3,3,4,4,2,5,3,NA,5090.842413,NA,NA,NA,0,0,1.39423131942749,1.30526793003082,NA,NA,NA,0.949,0.072,0.851,1,0,33,"Europe & Central Asia","Central",1,1,1,13
"74","Austria","AUT",1974,52.4,1.15,3,3,4,4,2,5,3,NA,5757.920903,NA,NA,NA,0,0,1.39423131942749,1.32752001285553,NA,NA,NA,0.949,0.072,0.853,1,0,33,"Europe & Central Asia","Central",1,1,1,14
"75","Austria","AUT",1975,52.6,1.151,3,3,2,4,2,5,3,NA,6285.003629,NA,NA,NA,0,0,1.28326797485352,1.32756447792053,NA,NA,NA,0.949,0.072,0.856,1,0,33,"Europe & Central Asia","Central",1,1,1,15
"76","Austria","AUT",1976,52.4,1.151,3,3,2,4,2,5,3,NA,6946.302603,15513.815433,NA,NA,0,0,1.28326797485352,1.32760882377625,NA,NA,NA,0.949,0.072,0.857,1,0,33,"Europe & Central Asia","Central",1,1,1,16
"77","Austria","AUT",1977,51.7,1.152,3,3,2,4,2,5,3,NA,7749.721541,17121.350476,NA,NA,0,0,1.28334140777588,1.32766795158386,NA,NA,NA,0.949,0.072,0.857,1,0,33,"Europe & Central Asia","Central",1,1,1,17
"78","Austria","AUT",1978,51.5,1.152,3,3,2,4,2,5,3,NA,8284.054928,18210.863655,NA,NA,0,0,1.28341460227966,1.30550467967987,NA,NA,NA,0.949,0.072,0.857,1,0,33,"Europe & Central Asia","Central",1,1,1,18
"79","Austria","AUT",1979,51.5,1.153,3,3,2,4,2,5,3,NA,9468.043328,20676.959277,NA,NA,0,0,1.28348731994629,1.28335583209991,NA,NA,NA,0.949,0.072,0.856,1,0,33,"Europe & Central Asia","Central",1,1,1,19
"80","Austria","AUT",1980,51.7,1.154,3,3,2,4,2,5,3,NA,10502.030285,22753.176002,NA,NA,0,0,1.28355979919434,1.28341424465179,NA,NA,NA,0.96,0.092,0.859,1,0,33,"Europe & Central Asia","Central",1,1,1,20
"81","Austria","AUT",1981,51.9,1.154,3,3,2,4,2,5,3,NA,11449.92687,25030.509484,NA,NA,0,0,1.28355979919434,1.28347253799438,NA,NA,NA,0.96,0.092,0.86,1,0,33,"Europe & Central Asia","Central",1,1,1,21
"82","Austria","AUT",1982,52.1,1.154,3,3,2,4,2,5,3,NA,12392.952599,27418.816398,NA,NA,0,0,1.28355979919434,1.28351628780365,NA,NA,NA,0.96,0.092,0.86,1,0,33,"Europe & Central Asia","Central",1,1,1,22
"83","Austria","AUT",1983,52,1.154,3,3,2,3,2,4,3,NA,13282.688765,29421.901111,NA,NA,0,0,1.06133759021759,1.23910081386566,NA,NA,NA,0.96,0.092,0.86,1,0,33,"Europe & Central Asia","Central",1,1,1,23
"84","Austria","AUT",1984,52,1.217,3,3,2,3,2,4,3,NA,13769.813768,30540.159979,NA,NA,0,0,1.06840789318085,1.19608497619629,NA,NA,NA,0.96,0.092,0.86,1,0,33,"Europe & Central Asia","Central",1,1,1,24
"85","Austria","AUT",1985,51.3,1.217,3,3,2,3,2,4,3,NA,14553.388216,32227.550094,NA,NA,0,0,1.06840789318085,1.15305459499359,NA,NA,NA,0.96,0.092,0.862,1,0,33,"Europe & Central Asia","Central",1,1,1,25
"86","Austria","AUT",1986,50.9,1.217,3,3,2,3,2,4,3,NA,15178.503272,33605.448732,NA,NA,0,0,1.06840789318085,1.11002421379089,NA,NA,NA,0.966,0.092,0.862,1,0,33,"Europe & Central Asia","Central",1,1,1,26
"87","Austria","AUT",1987,50.1,1.217,3,3,2,3,2,4,3,NA,15754.908321,34769.651647,NA,NA,0,0,1.06840789318085,1.0669938325882,NA,NA,NA,0.966,0.082,0.862,1,0,33,"Europe & Central Asia","Central",1,1,1,27
"88","Austria","AUT",1988,49.1,1.217,3,3,2,3,2,4,3,NA,16824.397056,37048.753625,NA,NA,0,0,1.06840789318085,1.06840789318085,NA,NA,NA,0.966,0.082,0.858,1,0,33,"Europe & Central Asia","Central",1,1,1,28
"89","Austria","AUT",1989,48,1.217,3,3,2,3,2,4,3,NA,18081.942331,39488.882011,NA,NA,0,0,1.06840789318085,1.06840789318085,NA,NA,NA,0.966,0.082,0.864,1,0,33,"Europe & Central Asia","Central",1,1,1,29
"90","Austria","AUT",1990,46.8,1.217,3,3,2,3,2,4,3,NA,19425.41076,41896.157717,42961.5273902075,64.26,0,0,1.06840789318085,1.06840789318085,NA,NA,NA,0.966,0.082,0.867,1,0,33,"Europe & Central Asia","Central",1,1,1,30
"91","Austria","AUT",1991,45.5,1.219,3,3,2,3,2,4,3,NA,20567.115257,44257.121159,44304.4441041395,68.47,0,0,1.06861162185669,1.06844866275787,NA,NA,NA,0.966,0.082,0.867,1,0,33,"Europe & Central Asia","Central",1,1,1,31
"92","Austria","AUT",1992,44.5,1.219,3,3,2,3,2,4,3,NA,21241.150131,46006.363448,45197.0168066897,62.68,0,0,1.06861162185669,1.0684894323349,NA,NA,NA,0.966,0.082,0.866,1,0,33,"Europe & Central Asia","Central",2,1,1,32
"93","Austria","AUT",1993,44,1.219,3,3,2,3,2,4,3,NA,21679.452826,47601.971096,45565.5210898905,62.6,1,1,1.06861162185669,1.06853008270264,NA,NA,NA,0.966,0.082,0.865,1,1,34,"Europe & Central Asia","Central",2,1,1,33
"94","Austria","AUT",1994,41.5,1.22,3,3,2,3,2,4,3,NA,22587.176375,49796.488206,46024.6070418706,62.69,0,0,1.06871283054352,1.06859111785889,NA,NA,NA,0.966,0.082,0.865,1,1,34,"Europe & Central Asia","Central",4,1,1,34
"95","Austria","AUT",1995,41.1,1.22,3,3,2,3,2,4,3,NA,23639.827646,52380.572212,46395.3876950754,65.17,0,0,1.06871283054352,1.06865215301514,NA,NA,NA,0.966,0.082,0.865,1,1,34,"Europe & Central Asia","Central",4,1,1,35
"96","Austria","AUT",1996,40.1,1.22,3,3,2,3,2,4,3,NA,24500.221007,54149.919607,46048.905967106,68.88,0,0,1.06871283054352,1.06867229938507,NA,NA,NA,0.948,0.082,0.863,1,1,34,"Europe & Central Asia","Central",4,1,1,36
"97","Austria","AUT",1997,38.9,1.22,3,3,2,3,2,4,3,NA,25417.862433,55833.536417,45667.1282247395,67.87,0,0,1.06871283054352,1.06869256496429,NA,NA,NA,0.948,0.082,0.863,1,1,34,"Europe & Central Asia","Central",4,1,1,37
